UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,29,4835107,2458730,2376377,1785013,1702714,386887,383845,36793,33878,170968,175788,7793,7076,71276,73076,1847025,1766430,416950,416646,59005,55926,199165,204098,14914,14111,1940322,1897499,1332307,1285981,359864,357760,20930,20031,165641,170386,5669,5267,55911,58074,1380767,1336510,383091,383672,36289,35537,189741,194474,11259,10867,518408,478878,452706,416733,27023,26085,15863,13847,5327,5402,2124,1809,15365,15002,466258,429920,33859,32974,22716,20389,9424,9624,3655,3244
R,7,2020,30,4821081,2446049,2375032,1783713,1704651,378184,380664,36138,33073,173813,180436,7922,7188,66279,69020,1841547,1764940,405380,410938,56743,54339,200532,207143,14573,13797,1932596,1905540,1334693,1296101,351626,354568,20244,19644,168476,175219,5681,5382,51876,54626,1379764,1343662,372447,378196,34476,34515,191345,198092,10918,10643,513453,469492,449020,408550,26558,26096,15894,13429,5337,5217,2241,1806,14403,14394,461783,421278,32933,32742,22267,19824,9187,9051,3655,3154
R,7,2020,31,4627340,2346037,2281303,1718232,1638526,352002,358979,34520,31161,172494,181794,7645,6834,61144,64009,1771536,1694256,376649,386587,53961,50830,197080,207089,13783,13086,1857302,1837470,1290803,1252039,326856,334253,19033,18420,167483,176685,5620,5160,47507,50913,1332065,1296200,345350,355849,32276,32308,188548,198470,10522,10149,488735,443833,427429,386487,25146,24726,15487,12741,5011,5109,2025,1674,13637,13096,439471,398056,31299,30738,21685,18522,8532,8619,3261,2937
R,7,2020,32,4514736,2286384,2228352,1690277,1614582,329080,338219,33814,30469,167783,177656,7623,6783,57807,60643,1740449,1667435,351717,364136,52138,49246,191573,201694,13702,12776,1799872,1790630,1263572,1233004,305062,314191,18258,17700,162970,172855,5506,5119,44504,47761,1302021,1274547,321810,334047,30503,30794,183334,193477,10289,9929,486512,437722,426705,381578,24018,24028,15556,12769,4813,4801,2117,1664,13303,12882,438428,392888,29907,30089,21635,18452,8239,8217,3413,2847
R,7,2020,33,4432699,2244172,2188527,1671157,1593205,314276,326148,32614,29451,164389,174577,7494,6691,54242,58455,1718278,1644164,335509,350818,50243,48060,186526,197689,13090,12385,1766028,1756432,1250804,1216052,291201,302750,17529,17055,159598,169941,5373,4952,41523,45682,1286634,1255727,306707,321488,29318,29917,178567,189774,9862,9483,478144,432095,420353,377153,23075,23398,15085,12396,4791,4636,2121,1739,12719,12773,431644,388437,28802,29330,20925,18143,7959,7915,3228,2902
R,7,2020,34,4442547,2246611,2195936,1682480,1607017,306691,321668,32341,29388,164706,175305,7598,6778,52795,55780,1728278,1655325,326812,344756,49758,47606,186269,197405,13271,12428,1764538,1762814,1258380,1228275,283593,298314,16863,16764,159967,170764,5430,5131,40305,43566,1293151,1265831,298149,315813,28495,29523,178380,189638,9944,9666,482073,433122,424100,378742,23098,23354,15478,12624,4739,4541,2168,1647,12490,12214,435127,389494,28663,28943,21263,18083,7889,7767,3327,2762
R,7,2020,35,4466747,2250914,2215833,1692270,1624871,303469,321038,31713,29377,165033,178681,7507,6710,50922,55156,1736411,1672733,322529,343137,48886,47685,185830,200873,13061,12354,1767959,1779381,1266743,1242941,280876,297647,16451,16736,160324,174175,5301,5075,38264,42807,1299648,1279907,294338,314028,27739,29494,177995,193215,9684,9587,482955,436452,425527,381930,22593,23391,15262,12641,4709,4506,2206,1635,12658,12349,436763,392826,28191,29109,21147,18191,7835,7658,3377,2767
R,7,2020,36,4319361,2167794,2151567,1631555,1577859,287102,308831,30901,28665,162728,176695,7156,6491,48352,53026,1673379,1623780,304994,329508,47482,46654,182610,198303,12425,12067,1703094,1724594,1221912,1203798,265574,286470,15992,16187,158078,172383,5112,4831,36426,40925,1253195,1239068,278236,301657,26970,28666,174969,190789,9266,9283,464700,426973,409643,374061,21528,22361,14909,12478,4650,4312,2044,1660,11926,12101,420184,384712,26758,27851,20512,17988,7641,7514,3159,2784
R,7,2020,37,4374441,2190946,2183495,1654431,1604200,288601,313116,31361,29193,160672,177197,7209,6690,48672,53099,1696573,1650004,306421,333740,48155,47593,180579,198616,12538,12309,1720538,1748486,1239189,1223615,267147,289788,16086,16406,156085,172757,5177,5003,36854,40917,1270843,1258714,279761,304910,27387,29156,173002,191048,9398,9480,470408,435009,415242,380585,21454,23328,15275,12787,4587,4440,2032,1687,11818,12182,425730,391290,26660,28830,20768,18437,7577,7568,3140,2829
R,7,2020,38,4362662,2180264,2182398,1650335,1605773,286372,313466,30777,28460,158325,176299,7225,6608,47230,51792,1691178,1650372,303565,333816,47531,46686,177381,196883,12469,12090,1711851,1744988,1236868,1222173,264898,290495,15799,15718,153747,171727,5162,4868,35377,40007,1267195,1256434,276969,305490,26928,28454,169774,189265,9305,9256,468413,437410,413467,383600,21474,22971,14978,12742,4578,4572,2063,1740,11853,11785,423983,393938,26596,28326,20603,18232,7607,7618,3164,2834
