GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E34001,E34002,E34003,E34004,E34005,E34006,E34007,E34008,E34009,E34010,E34011,E34012,E34013,E34014,E34015,E34016,E34017,E34018,E34019,E34020,E34021,E34022,E34023,E34024,E34025,E34026,E34027,E34028,E34029,E34030,E34031,E34032,E34033,E34034,E34035,E35001,E35002,E35003,E35004,E35005,E35006,E35007
"G4200630","1990",,,,,,,,,,"Indiana","063",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Indiana County",6469,7308,23618,5831,2005,4280,3132,7,38,118,97,12,52,71,5,9,22,6,0,2,6,18,10,30,24,8,111,32,10,7,12,0,8,16,10,26,25,73,18,18,24,0
"G4200650","1990",,,,,,,,,,"Jefferson","065",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Jefferson County",3629,4684,14944,2927,1452,1717,1000,0,2,14,0,0,2,0,14,17,12,13,0,0,0,4,0,3,0,0,0,0,0,0,2,3,0,0,0,2,8,16,11,0,0,0
"G4200670","1990",,,,,,,,,,"Juniata","067",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Juniata County",2255,2404,6199,1042,504,626,347,3,0,0,5,0,0,0,5,0,20,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,26,3,5,0,0,2,2
"G4200690","1990",,,,,,,,,,"Lackawanna","069",,"2","7560",,"9999","1","Pennsylvania","42",,,,,"Lackawanna County",15619,23621,59012,18099,9278,13579,8096,92,116,244,98,49,34,18,7,32,13,8,2,16,0,104,77,122,47,35,120,156,16,21,39,27,14,27,2,37,81,140,58,40,42,39
"G4200710","1990",,,,,,,,,,"Lancaster","071",,"2","4000",,"9999","1","Pennsylvania","42",,,,,"Lancaster County",32668,40400,100269,27711,10558,29505,13805,492,1394,1426,479,145,260,146,55,103,71,43,5,27,6,542,393,567,234,167,258,232,1492,1053,1067,277,44,102,28,2016,1595,1744,566,161,189,133
"G4200730","1990",,,,,,,,,,"Lawrence","073",,"2","9999",,"9999","1","Pennsylvania","42",,,,,"Lawrence County",6128,10798,28606,7185,2738,4753,2777,177,346,667,202,96,20,25,17,20,20,0,0,0,8,4,8,27,17,11,4,81,12,7,6,0,0,0,0,34,25,43,15,11,19,9
"G4200750","1990",,,,,,,,,,"Lebanon","075",,"2","3240",,"9999","1","Pennsylvania","42",,,,,"Lebanon County",8046,13911,33472,6830,2794,5585,3120,9,83,182,43,8,10,20,10,7,19,15,2,2,0,82,108,137,59,14,30,54,147,165,152,14,20,18,13,249,324,358,38,41,23,42
"G4200770","1990",,,,,,,,,,"Lehigh","077",,"2","0240",,"9999","1","Pennsylvania","42",,,,,"Lehigh County",17396,28955,68405,24360,12359,23958,13160,365,693,1006,704,240,295,150,18,10,78,19,0,18,6,231,298,328,171,99,448,652,1083,1195,854,304,68,165,43,1652,1812,1776,674,236,407,214
"G4200790","1990",,,,,,,,,,"Luzerne","079",,"2","7560",,"9999","1","Pennsylvania","42",,,,,"Luzerne County",25344,36938,91826,27420,12430,18376,10673,214,657,846,477,102,91,6,18,32,40,35,9,0,25,51,62,102,52,64,147,241,45,90,79,33,22,7,9,83,244,247,105,63,67,55
"G4200810","1990",,,,,,,,,,"Lycoming","081",,"2","9140",,"9999","1","Pennsylvania","42",,,,,"Lycoming County",6495,12746,31059,10197,5623,6249,3083,72,370,751,340,66,36,2,7,35,13,7,22,3,10,20,8,21,32,14,86,67,15,22,36,26,0,0,0,51,85,94,64,8,22,14
