GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHZ001,DHZ002,DHZ003,DHZ004,DHZ005,DHZ006,DHZ007,DHZ008
"G4800530","1980","A","3","7","Texas","48",,"Burnet","053",,,,,,,,,,,,"07",,,,,"BURNET",,,,,,,,,,,,"1","1",,,,,,"1",,,,,,"1",,,0,294,10,87,0,144,22,183
"G4800550","1980","A","3","7","Texas","48",,"Caldwell","055",,,,,,,,,,,,"10",,,,,"CALDWELL",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1606,148,818,0,1103,68,1293
"G4800570","1980","A","3","7","Texas","48",,"Calhoun","057",,,,,,,,,,,,"14",,,,,"CALHOUN",,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,0,1671,21,358,2,795,20,1254
"G4800590","1980","A","3","7","Texas","48","0040","Callahan","059",,,,,,,,,,,,"06",,,,,"CALLAHAN",,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,,0,84,0,14,0,66,2,37
"G4800610","1980","A","3","7","Texas","48","1240","Cameron","061",,,,,,,,,,,,"15",,,,,"CAMERON",,,,,,,,,,,,,,,,,,,,,,,,,,,,136,30142,3161,11872,0,21755,2119,30385
"G4800630","1980","A","3","7","Texas","48",,"Camp","063",,,,,,,,,,,,"12",,,,,"CAMP",,,,"1",,,,,,,"1",,"1",,,,,,,"1",,,,"1",,,,0,37,0,0,0,18,0,10
"G4800650","1980","A","3","7","Texas","48",,"Carson","065",,,,,,,,,,,,"04",,,,,"CARSON",,,"1",,"1",,,,,,"1","1",,,,,"1","1","1",,,,"1","1",,,,0,56,5,6,0,26,0,40
"G4800670","1980","A","3","7","Texas","48",,"Cass","067",,,,,,,,,,,,"12",,,,,"CASS",,,,,"1",,,,,,,,,,,,,,"1",,,,,,"1",,,0,101,0,11,0,16,6,25
"G4800690","1980","A","3","7","Texas","48",,"Castro","069",,,,,,,,,,,,"04",,,,,"CASTRO",,,,"1","1",,,,,,"1","1",,,,,,"1",,,,,,,"1",,,2,880,19,151,0,392,20,702
"G4800710","1980","A","3","7","Texas","48",,"Chambers","071",,,,,,,,,,,,"14",,,,,"CHAMBERS",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,0,183,0,15,0,58,0,111
"G4800730","1980","A","3","7","Texas","48",,"Cherokee","073",,,,,,,,,,,,"12",,,,,"CHEROKEE",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,0,401,34,180,0,102,0,181
"G4800750","1980","A","3","7","Texas","48",,"Childress","075",,,,,,,,,,,,"06",,,,,"CHILDRESS",,,,"1","1",,,,,,,"1","1",,,,,,"1",,,,,,,,,0,196,6,33,0,70,9,93
"G4800770","1980","A","3","7","Texas","48","9080","Clay","077",,,,,,,,,,,,"06",,,,,"CLAY",,,,,"1",,,,,,"1","1",,,,,"1",,"1","1",,,,,,"1",,0,14,0,1,0,10,2,19
"G4800790","1980","A","3","7","Texas","48",,"Cochran","079",,,,,,,,,,,,"05",,,,,"COCHRAN",,,,"1","1",,,,,,"1",,"1",,,,,"1",,,,,,"1",,,,0,374,30,84,0,96,28,321
