GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,DHN001,DHN002,DHN003,DHN004,DHN005,DHN006,DHN007,DHN008,DHN009,DHN010,DHN011,DHN012,DHN013,DHN014,DHN015,DHN016,DHN017,DHN018,DHN019,DHN020,DHN021,DHN022,DHN023,DHN024,DHN025,DHO001,DHO002,DHO003,DHO004,DHO005
"G0101270","1980","3","6","Alabama","01","1000","Walker","127",,,,,,,,,,,,"WALKER",12476,7804,11953,3001,2455,916,584,637,127,98,31,13,24,8,5,0,0,0,0,0,0,0,0,0,0,81,52,62,2,2
"G0101290","1980","3","6","Alabama","01",,"Washington","129",,,,,,,,,,,,"WASHINGTON",1983,1273,2243,548,393,925,390,690,86,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,19,7,1
"G0101310","1980","3","6","Alabama","01",,"Wilcox","131",,,,,,,,,,,,"WILCOX",537,521,1077,369,461,2518,847,774,213,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,59,17,8,0
"G0101330","1980","3","6","Alabama","01",,"Winston","133",,,,,,,,,,,,"WINSTON",4649,2700,3810,1035,670,14,8,27,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,39,14,13,14,5
"G0200100","1980","4","9","Alaska","02",,"Aleutian Islands","010",,,,,,,,,,,,"ALEUTIAN ISLANDS",23,172,1061,586,488,0,0,60,68,12,442,129,273,45,10,44,45,136,62,64,2,0,14,8,0,7,4,58,25,25
"G0200200","1980","4","9","Alaska","02","0380","Anchorage","020",,,,,,,,,,,,"ANCHORAGE",2397,5831,31947,20832,20460,295,324,1920,1199,452,827,529,1648,578,390,243,178,915,494,617,118,97,440,224,65,197,188,872,567,281
"G0200500","1980","4","9","Alaska","02",,"Bethel","050",,,,,,,,,,,,"BETHEL",20,15,241,209,533,0,0,11,10,11,2270,297,806,260,101,0,0,0,0,0,0,0,0,0,0,0,6,2,7,14
"G0200600","1980","4","9","Alaska","02",,"Bristol Bay Borough","060",,,,,,,,,,,,"BRISTOL BAY",9,30,152,95,96,0,0,29,7,0,47,23,63,19,3,0,0,0,0,0,0,0,0,0,0,0,0,10,11,1
"G0200700","1980","4","9","Alaska","02",,"Dillingham","070",,,,,,,,,,,,"DILLINGHAM",31,19,184,120,314,0,0,0,0,0,771,108,427,117,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0200900","1980","4","9","Alaska","02",,"Fairbanks North Star","090",,,,,,,,,,,,"FAIRBANKS NORTH STAR",842,1856,10240,5848,5884,128,211,663,271,96,345,229,440,214,82,59,29,190,76,83,23,40,127,66,20,41,72,333,101,97
"G0201000","1980","4","9","Alaska","02",,"Haines","100",,,,,,,,,,,,"HAINES",56,95,320,166,187,0,0,0,0,0,32,21,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0201100","1980","4","9","Alaska","02",,"Juneau","110",,,,,,,,,,,,"JUNEAU",274,361,3281,2341,3614,0,24,7,20,13,111,100,496,169,74,70,36,24,63,99,14,8,11,11,8,0,8,33,39,21
"G0201220","1980","4","9","Alaska","02",,"Kenai Peninsula","122",,,,,,,,,,,,"KENAI PENINSULA",742,1289,5638,2828,2130,0,7,11,26,20,273,98,300,115,15,26,24,34,28,51,0,0,21,18,0,2,11,40,58,39
"G0201300","1980","4","9","Alaska","02",,"Ketchikan Gateway","130",,,,,,,,,,,,"KETCHIKAN GATEWAY",334,473,2374,1262,1077,0,0,0,0,0,101,162,257,108,12,24,14,58,19,38,0,0,0,0,0,18,15,28,20,0
"G0201400","1980","4","9","Alaska","02",,"Kobuk","140",,,,,,,,,,,,"KOBUK",13,13,97,76,252,0,0,0,0,0,856,190,417,128,27,0,0,0,0,0,0,0,0,0,0,2,2,4,1,5
"G0201500","1980","4","9","Alaska","02",,"Kodiak Island","150",,,,,,,,,,,,"KODIAK ISLAND",164,306,1567,997,820,6,8,8,12,6,320,146,311,50,21,70,93,112,93,77,18,0,15,2,2,37,28,59,44,22
"G0201700","1980","4","9","Alaska","02",,"Matanuska-Susitna","170",,,,,,,,,,,,"MATANUSKA-SUSITNA",590,1036,3730,2198,1684,6,0,17,2,3,79,54,124,41,12,7,5,10,0,7,5,9,11,2,2,2,21,26,19,10
"G0201800","1980","4","9","Alaska","02",,"Nome","180",,,,,,,,,,,,"NOME",22,30,188,186,397,0,0,0,0,0,1086,247,647,210,18,0,0,0,0,0,0,0,0,0,0,6,3,9,3,3
"G0201850","1980","4","9","Alaska","02",,"North Slope","185",,,,,,,,,,,,"NORTH SLOPE",25,43,173,198,225,0,0,0,0,0,669,152,370,139,27,5,3,14,0,6,0,0,0,0,0,4,5,4,4,2
"G0202010","1980","4","9","Alaska","02",,"Prince Of Wales-Outer Ketchikan","201",,,,,,,,,,,,"PRINCE OF WALES-OUTER KETCHIKAN",112,144,529,224,186,2,0,3,7,0,112,227,273,108,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0202200","1980","4","9","Alaska","02",,"Sitka","220",,,,,,,,,,,,"SITKA",131,283,1263,773,827,0,0,6,0,0,199,119,265,121,9,18,15,33,6,38,0,13,7,0,0,0,6,12,6,25
"G0202310","1980","4","9","Alaska","02",,"Skagway-Yakutat-Angoon","231",,,,,,,,,,,,"SKAGWAY-YAKUTAT-ANGOON",66,130,522,212,258,0,0,0,0,0,161,186,240,61,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0202400","1980","4","9","Alaska","02",,"Southeast Fairbanks","240",,,,,,,,,,,,"SOUTHEAST FAIRBANKS",135,197,1120,425,397,5,8,62,30,11,172,40,59,48,12,0,0,0,0,0,0,0,0,0,0,0,13,37,24,5
"G0202610","1980","4","9","Alaska","02",,"Valdez-Cordova","261",,,,,,,,,,,,"VALDEZ-CORDOVA",229,343,1706,1041,721,4,0,2,7,5,261,52,169,51,0,12,13,24,15,7,5,4,9,7,0,10,12,32,14,10
"G0202700","1980","4","9","Alaska","02",,"Wade Hampton","270",,,,,,,,,,,,"WADE HAMPTON",0,3,18,20,114,0,0,0,0,0,1093,126,350,115,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0202800","1980","4","9","Alaska","02",,"Wrangell-Petersburg","280",,,,,,,,,,,,"WRANGELL-PETERSBURG",165,381,1046,646,576,0,0,0,0,0,129,87,207,95,13,7,4,16,9,13,0,0,0,0,0,3,4,14,0,0
"G0202900","1980","4","9","Alaska","02",,"Yukon-Koyukuk","290",,,,,,,,,,,,"YUKON-KOYUKUK",91,118,814,497,489,1,5,50,33,0,908,195,574,164,48,0,0,0,0,0,0,0,0,0,0,6,0,11,4,2
"G0400010","1980","4","8","Arizona","04",,"Apache","001",,,,,,,,,,,,"APACHE",559,641,2224,1478,1691,37,47,42,13,29,8007,1829,3171,1592,552,5,0,3,7,16,118,51,109,23,31,257,132,246,97,47
"G0400030","1980","4","8","Arizona","04",,"Cochise","003",,,,,,,,,,,,"COCHISE",7691,5086,15204,8841,6302,168,146,458,326,165,29,60,61,85,26,193,112,359,173,88,1171,349,633,301,69,5049,1276,2552,1274,397
"G0400050","1980","4","8","Arizona","04",,"Coconino","005",,,,,,,,,,,,"COCONINO",1498,2072,8064,5746,7407,209,82,113,116,104,3413,855,1954,1117,371,56,35,31,53,49,378,220,295,126,71,803,545,1033,409,248
"G0400070","1980","4","8","Arizona","04",,"Gila","007",,,,,,,,,,,,"GILA",3309,3481,7378,3003,1608,34,0,10,12,0,591,625,674,211,45,16,0,29,18,0,136,115,213,123,41,1101,848,1316,318,121
"G0400090","1980","4","8","Arizona","04",,"Graham","009",,,,,,,,,,,,"GRAHAM",1911,1355,3147,1924,1145,42,96,71,47,8,320,244,319,90,5,13,24,18,8,5,444,200,265,70,13,1177,478,632,195,52
"G0400110","1980","4","8","Arizona","04",,"Greenlee","011",,,,,,,,,,,,"GREENLEE",735,714,2066,861,535,0,0,0,0,0,26,48,22,41,0,0,0,5,9,29,0,0,0,0,0,628,418,1082,317,115
"G0400130","1980","4","8","Arizona","04","6200","Maricopa","013",,,,,,,,,,,,"MARICOPA",84818,93856,286810,179471,153838,4611,4165,6463,4789,2371,2207,1895,2861,2063,802,1482,608,2153,1543,2382,19851,6547,9178,4317,1839,35145,12451,20505,10266,5013
"G0400150","1980","4","8","Arizona","04",,"Mohave","015",,,,,,,,,,,,"MOHAVE",4321,6426,14723,6404,3158,16,6,29,0,0,138,127,295,126,17,10,10,85,11,18,67,89,142,33,11,205,284,351,141,43
"G0400170","1980","4","8","Arizona","04",,"Navajo","017",,,,,,,,,,,,"NAVAJO",1557,2331,6976,3747,3032,112,44,76,48,36,5981,2084,2730,1205,342,9,0,8,6,48,328,118,219,122,43,652,261,653,236,147
"G0400190","1980","4","8","Arizona","04","8520","Pima","019",,,,,,,,,,,,"PIMA",29889,30782,91527,59573,60761,1444,1078,2194,1751,944,2719,946,1910,796,344,460,155,679,469,1049,7865,3523,6004,2525,1198,17257,8217,14618,6933,3446
"G0400210","1980","4","8","Arizona","04",,"Pinal","021",,,,,,,,,,,,"PINAL",8053,7007,13268,5769,4341,490,435,314,144,46,1497,848,873,325,52,31,24,42,14,53,3129,979,1514,615,133,5332,1756,2685,1169,395
"G0400230","1980","4","8","Arizona","04",,"Santa Cruz","023",,,,,,,,,,,,"SANTA CRUZ",2451,1256,2483,1518,1326,21,8,6,15,0,36,0,0,8,0,5,0,11,0,23,1010,223,248,166,86,3294,1097,1703,786,402
