GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E4J001,E4J002,E4J003,E4J004,E4J005,E4J006,E4J007,E4J008,E4J009,E4J010,E4J011,E4J012,E4J013,E4J014,E4J015,E4J016,E4J017,E4J018,E4J019,E4J020,E4J021,E4J022,E4J023,E4J024,E4J025,E4J026,E4J027,E4J028,E4J029,E4J030,E4J031,E4J032,E4J033,E4J034,E4J035,E4J036,E4J037,E4J038,E4J039,E4J040
"G2000770","1990","KS",,,,,,,,,,,"99","Harper","077",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002075848","0000003918","Harper County","A","+37197700","-098078004","06",0,1756,38,734,0,1338,40,1528,0,13,0,0,0,0,0,0,0,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,6
"G2000790","1990","KS",,,,,,,,,,,"99","Harvey","079",,,"4","9040",,,,"9999","2","Kansas","20",,,,,"0001397119","0000002879","Harvey County","A","+38044455","-097424917","06",14,7785,250,2588,0,6545,233,5103,0,142,35,53,0,73,5,54,0,41,0,19,0,31,0,21,0,65,0,53,0,55,3,87,0,152,10,60,0,110,12,101
"G2000810","1990","KS",,,,,,,,,,,"99","Haskell","081",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001495444","0000000934","Haskell County","A","+37562776","-100872917","06",0,1040,8,163,0,656,22,558,0,3,0,0,0,0,0,3,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,132,9,28,0,55,7,59
"G2000830","1990","KS",,,,,,,,,,,"99","Hodgeman","083",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002227341","0000000823","Hodgeman County","A","+38087507","-099898096","06",0,500,5,274,0,392,2,438,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"G2000850","1990","KS",,,,,,,,,,,"99","Jackson","085",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001701247","0000002704","Jackson County","A","+39420659","-095797903","06",34,2747,98,936,2,2224,71,1923,0,5,2,10,0,5,0,9,0,137,26,90,0,110,3,94,0,0,0,0,0,0,0,0,0,9,5,0,0,13,0,0
"G2000870","1990","KS",,,,,,,,,,,"99","Jefferson","087",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0001388639","0000053948","Jefferson County","A","+39228657","-095381731","06",6,4054,232,1470,0,3346,108,2508,0,9,0,32,0,2,0,14,0,43,2,7,0,25,1,13,0,9,0,0,0,11,0,13,0,9,0,0,0,20,0,0
"G2000890","1990","KS",,,,,,,,,,,"99","Jewell","089",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002354865","0000013713","Jewell County","A","+39785619","-098218036","06",0,1113,33,471,0,830,23,881,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2000910","1990","KS",,,,,,,,,,,"99","Johnson","091",,,"4","3760",,,,"9999","2","Kansas","20",,,,,"0001234856","0000008800","Johnson County","A","+38884350","-094822151","06",371,99870,3400,18883,51,87603,2570,45414,13,1891,81,387,5,1806,112,513,0,376,43,58,13,436,19,169,0,1643,36,265,0,1248,46,642,8,678,19,98,0,515,19,145
"G2000930","1990","KS",,,,,,,,,,,"99","Kearny","093",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002253421","0000003948","Kearny County","A","+37995167","-101312731","06",0,1015,34,210,0,729,24,512,0,3,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,4,0,0,0,0,0,18,0,119,5,13,0,41,0,47
"G2000950","1990","KS",,,,,,,,,,,"99","Kingman","095",,,"4","9999",,,,"9999","2","Kansas","20",,,,,"0002237037","0000007845","Kingman County","A","+37560478","-098135217","06",3,2098,41,868,0,1512,62,1642,0,0,0,0,0,19,0,0,0,8,2,0,0,6,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0
