GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSS001,GSS002,GSS003,GSS004,GSS005,GSS006,GSS007,GSS008,GSS009,GSS010,GSS011,GSS012,GSS013,GSS014,GSS015,GSS016,GSS017,GSS018,GSS019,GSS020,GSS021,GSS022,GSS023,GSS024,GSS025,GSS026,GSS027,GSS028
"G2600070","2000","US","2","3","Michigan","26","Alpena","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1487042096","2902986576","Alpena County","A","+45032984","-083535789","06",,,7017,734,6551,327,9,3,8,1,33,0,35,14,36,0,20,0,0,0,0,0,4,0,9,0,51,1,9,0
"G2600090","2000","US","2","3","Michigan","26","Antrim","009",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1235262187","323663078","Antrim County","A","+45005956","-085176923","06",,,5303,362,4464,304,14,2,3,0,46,9,54,2,8,0,5,0,4,0,0,2,19,0,7,0,52,0,39,6
"G2600110","2000","US","2","3","Michigan","26","Arenac","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"950117635","813177035","Arenac County","A","+44061283","-083866873","06",,,3328,403,3089,173,5,0,0,0,39,11,24,2,10,0,18,0,2,0,0,0,14,0,11,0,23,7,30,10
"G2600130","2000","US","2","3","Michigan","26","Baraga","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2341341138","426959496","Baraga County","A","+46706302","-088398936","06",,,1577,148,1356,75,3,0,2,0,182,34,237,28,5,0,4,0,0,0,0,0,2,2,0,0,80,8,56,4
"G2600150","2000","US","2","3","Michigan","26","Barry","015",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1440383061","53786902","Barry County","A","+42607468","-085317653","06",,,14778,685,12036,605,75,11,29,11,75,5,65,11,36,0,37,0,0,0,0,0,72,10,84,4,165,0,86,2
"G2600170","2000","US","2","3","Michigan","26","Bay","017",,,,,"0",,,,,,,,,,,,,"6960","99","N","9999","9999","9",,,,,,,,,"1150591713","483447041","Bay County","A","+43636656","-083917406","06",,,25454,1882,23343,1269,264,54,166,53,188,26,114,5,135,6,108,0,0,0,0,0,300,16,220,19,212,28,300,55
"G2600190","2000","US","2","3","Michigan","26","Benzie","019",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"832197831","1394250656","Benzie County","A","+44643593","-086043826","06",,,3684,243,3292,194,6,1,0,1,60,4,71,22,4,0,3,0,0,0,0,0,24,3,37,0,32,3,44,8
"G2600210","2000","US","2","3","Michigan","26","Berrien","021",,,,,"0",,,,,,,,,,,,,"0870","99","N","9999","9999","9",,,,,,,,,"1478882557","2616885082","Berrien County","A","+41971239","-086426818","06",,,34704,1564,29766,1500,3812,548,5129,692,191,18,176,13,458,0,388,0,7,0,21,7,513,51,417,30,478,25,497,26
"G2600230","2000","US","2","3","Michigan","26","Branch","023",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1314191146","31282225","Branch County","A","+41926246","-085051147","06",,,10963,523,9344,457,16,0,13,4,35,3,42,0,27,0,32,0,0,0,5,0,248,38,57,11,252,16,99,10
"G2600250","2000","US","2","3","Michigan","26","Calhoun","025",,,,,"0",,,,,,,,,,,,,"3720","99","N","9999","9999","9",,,,,,,,,"1835566474","25186093","Calhoun County","A","+42278575","-085076092","06",,,28217,1597,26273,1503,2481,303,3079,251,214,27,133,29,401,14,332,18,0,2,0,0,456,24,243,16,613,34,514,52
"G2600270","2000","US","2","3","Michigan","26","Cass","027",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1274736966","42180313","Cass County","A","+41921510","-086022079","06",,,12554,608,10241,496,508,50,547,68,91,4,54,16,64,10,98,1,0,0,0,0,133,21,72,1,204,7,222,20
"G2600290","2000","US","2","3","Michigan","26","Charlevoix","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1079610710","2522451715","Charlevoix County","A","+45246669","-085100586","06",,,6154,416,5485,305,9,0,11,0,88,15,91,24,3,0,9,2,5,0,1,0,15,0,23,0,43,0,64,3
"G2600310","2000","US","2","3","Michigan","26","Cheboygan","031",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1853391663","439339858","Cheboygan County","A","+45482258","-084513310","06",,,5146,859,4670,749,9,0,8,0,154,32,100,42,21,0,11,0,2,0,0,0,0,0,0,4,72,16,70,9
"G2600330","2000","US","2","3","Michigan","26","Chippewa","033",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"4043131735","2944608013","Chippewa County","A","+46322274","-084497987","06",,,6397,766,5964,549,34,1,10,0,952,160,1012,107,26,1,43,1,0,0,2,0,9,0,7,2,262,63,284,23
"G2600350","2000","US","2","3","Michigan","26","Clare","035",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1467993832","21812624","Clare County","A","+43971020","-084859148","06",,,6034,675,5386,397,0,0,16,4,20,4,39,9,19,2,22,0,0,0,2,0,7,0,12,2,45,3,73,2
"G2600370","2000","US","2","3","Michigan","26","Clinton","037",,,,,"0",,,,,,,,,,,,,"4040","99","N","9999","9999","9",,,,,,,,,"1480069137","8070398","Clinton County","A","+42926738","-084573072","06",,,17027,476,14797,477,98,10,47,0,85,0,72,11,120,0,79,10,15,0,2,0,132,14,121,18,202,8,123,5
"G2600390","2000","US","2","3","Michigan","26","Crawford","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1445530829","13601164","Crawford County","A","+44677842","-084642559","06",,,2987,287,2766,174,2,0,6,0,13,0,15,7,18,0,19,0,0,0,0,0,4,0,7,0,16,5,16,4
"G2600410","2000","US","2","3","Michigan","26","Delta","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3030351121","2127826538","Delta County","A","+45877369","-086946619","06",,,8999,860,7802,476,6,0,0,0,211,40,158,25,5,0,22,0,0,0,2,0,26,1,11,0,137,7,74,4
"G2600430","2000","US","2","3","Michigan","26","Dickinson","043",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1984803209","27918825","Dickinson County","A","+45867191","-087971124","06",,,6451,455,5708,264,16,0,15,0,29,2,31,3,31,4,10,0,13,0,0,0,2,2,0,0,29,0,27,0
"G2600450","2000","US","2","3","Michigan","26","Eaton","045",,,,,"0",,,,,,,,,,,,,"4040","99","N","9999","9999","9",,,,,,,,,"1492894246","6765482","Eaton County","A","+42616759","-084782331","06",,,25522,1145,23103,702,1212,127,1319,175,103,18,105,5,346,14,274,24,0,6,0,0,363,40,301,12,417,80,377,38
"G2600470","2000","US","2","3","Michigan","26","Emmet","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1211649163","1073402953","Emmet County","A","+45476057","-084907677","06",,,7656,580,6778,519,19,3,3,0,246,43,214,37,21,0,29,0,8,0,1,0,12,6,14,0,108,12,95,2
"G2600490","2000","US","2","3","Michigan","26","Genesee","049",,,,,"0",,,,,,,,,,,,,"2162","35","N","2640","9999","9",,,,,,,,,"1656660341","25129673","Genesee County","A","+43011877","-083700504","06",,,82448,4723,72791,3726,12935,3000,17053,2400,621,119,641,53,962,19,643,70,31,0,27,7,707,101,742,50,1774,234,1594,288
"G2600510","2000","US","2","3","Michigan","26","Gladwin","051",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1312614778","24937206","Gladwin County","A","+43983969","-084416352","06",,,5090,482,4439,391,1,6,5,0,30,3,19,2,5,0,14,0,0,0,4,0,9,6,14,4,49,4,59,0
"G2600530","2000","US","2","3","Michigan","26","Gogebic","053",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2853804694","970143393","Gogebic County","A","+46397726","-089804056","06",,,3365,444,3085,220,5,0,13,0,78,12,55,7,10,0,0,4,0,0,0,0,4,0,3,0,64,4,31,3
"G2600550","2000","US","2","3","Michigan","26","Grand Traverse","055",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1204527945","352403674","Grand Traverse County","A","+44697278","-085574643","06",,,20275,1056,18513,739,56,0,29,7,166,15,249,3,76,0,57,13,0,0,0,0,112,6,53,33,209,9,169,37
"G2600570","2000","US","2","3","Michigan","26","Gratiot","057",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1476625630","3834251","Gratiot County","A","+43303734","-084615514","06",,,9103,573,8054,378,20,0,31,6,33,9,29,6,45,6,39,2,0,0,3,0,157,26,125,30,71,3,96,37
"G2600590","2000","US","2","3","Michigan","26","Hillsdale","059",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1550995291","21491712","Hillsdale County","A","+41897234","-084596622","06",,,11762,611,9869,565,49,10,28,27,11,4,45,2,39,0,55,0,0,0,0,0,17,0,22,12,77,4,49,4
