GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSQ001,GSQ002,GSQ003,GSQ004,GSQ005,GSQ006,GSQ007,GSQ008,GSQ009,GSQ010,GSQ011,GSQ012,GSQ013,GSQ014,GSQ015,GSQ016,GSQ017,GSQ018,GSQ019,GSQ020,GSQ021,GSQ022,GSQ023,GSQ024,GSQ025,GSQ026,GSQ027,GSQ028,GSS001,GSS002,GSS003,GSS004,GSS005,GSS006,GSS007,GSS008,GSS009,GSS010,GSS011,GSS012,GSS013,GSS014,GSS015,GSS016,GSS017,GSS018,GSS019,GSS020,GSS021,GSS022,GSS023,GSS024,GSS025,GSS026,GSS027,GSS028
"G4900270","2000","US","4","8","Utah","49","Millard","027",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"17065775108","618680802","Millard County","A","+39099806","-112859224","06",,,2936,1129,1995,2019,0,0,0,0,50,14,37,16,15,7,10,7,0,0,0,0,69,20,39,38,24,13,14,18,2771,155,1882,113,0,0,0,0,50,0,36,1,11,4,7,3,0,0,0,0,55,14,39,0,11,13,14,0
"G4900290","2000","US","4","8","Utah","49","Morgan","029",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1577633092","4307801","Morgan County","A","+41088520","-111608288","06",,,1822,584,1433,1002,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,2,6,8,2,28,10,12,0,1758,33,1343,90,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,8,0,25,3,12,0
"G4900310","2000","US","4","8","Utah","49","Piute","031",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1962717292","20590826","Piute County","A","+38334070","-112086880","06",,,341,183,222,286,0,0,0,0,5,0,0,2,0,3,0,2,0,0,0,0,8,3,0,9,2,0,0,0,318,23,210,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0
"G4900330","2000","US","4","8","Utah","49","Rich","033",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2663892098","149597387","Rich County","A","+41667569","-111269717","06",,,516,167,315,356,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,0,4,0,0,0,505,11,291,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0
"G4900350","2000","US","4","8","Utah","49","Salt Lake","035",,,,,"0",,,,,,,,,,,,,"7160","99","N","9999","9999","9",,,,,,,,,"1909799816","182340759","Salt Lake County","A","+40655802","-111915566","06",,,224314,60247,185605,104669,2437,1104,1558,815,2347,624,1959,695,6025,2496,5773,3457,2422,979,1718,1135,14328,4516,8806,5675,5573,1638,4391,2306,214512,9166,177459,8025,2227,185,1379,173,2084,254,1838,116,5761,226,5513,260,2250,172,1602,116,13373,950,7860,938,5146,405,4124,267
"G4900370","2000","US","4","8","Utah","49","San Juan","037",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"20254162556","292442718","San Juan County","A","+37425462","-109506642","06",,,1502,550,1214,908,2,2,0,0,1147,1228,995,1579,2,0,2,2,4,0,0,0,57,19,34,34,20,10,7,22,1427,75,1181,33,2,0,0,0,751,396,762,233,2,0,2,0,3,1,0,0,51,6,28,6,20,0,6,1
"G4900390","2000","US","4","8","Utah","49","Sanpete","039",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"4113174578","37685096","Sanpete County","A","+39390116","-111598818","06",,,4782,2620,3916,3730,6,68,0,2,24,29,16,11,9,47,19,40,4,14,6,5,284,122,113,96,63,86,32,37,4485,250,3638,278,0,6,0,0,16,8,16,0,9,0,6,13,4,0,0,6,260,24,79,34,53,10,30,2
"G4900410","2000","US","4","8","Utah","49","Sevier","041",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"4947521825","20794177","Sevier County","A","+38770438","-111940807","06",,,4525,1825,3290,3181,2,28,0,10,45,28,68,74,5,6,4,9,2,2,6,2,49,25,31,27,9,15,17,20,4270,248,3062,228,2,0,0,0,32,13,63,5,3,2,4,0,2,0,6,0,45,4,27,4,6,3,17,0
"G4900430","2000","US","4","8","Utah","49","Summit","043",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"4845990629","28486127","Summit County","A","+40828522","-111273030","06",,,8881,1498,6771,2984,19,14,34,10,50,10,15,0,98,10,83,15,7,0,11,2,583,93,344,200,57,43,84,24,8642,237,6626,145,19,0,31,3,50,0,5,10,90,8,83,0,7,0,9,2,536,47,330,14,57,0,72,12
"G4900450","2000","US","4","8","Utah","49","Tooele","045",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"17949532649","924010935","Tooele County","A","+40415422","-112690027","06",,,9763,2587,7704,5153,73,21,113,172,114,54,107,227,41,11,83,42,0,0,10,2,548,115,294,222,173,38,198,187,9267,445,7244,449,58,5,87,26,108,6,93,14,39,2,62,21,0,0,8,2,506,32,274,20,146,27,181,17
"G4900470","2000","US","4","8","Utah","49","Uintah","047",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"11595569027","56744414","Uintah County","A","+40279393","-109580431","06",,,5713,2038,4315,3620,0,0,0,1,435,263,418,435,23,7,15,13,12,0,11,0,53,53,61,33,63,34,28,50,5353,331,4038,277,0,0,0,0,326,109,313,105,23,0,15,0,12,0,11,0,40,13,41,20,58,5,28,0
"G4900490","2000","US","4","8","Utah","49","Utah","049",,,,,"0",,,,,,,,,,,,,"6520","99","N","9999","9999","9",,,,,,,,,"5175657032","369442863","Utah County","A","+40236597","-111736710","06",,,90083,25426,72274,50603,286,96,119,44,580,177,494,214,982,396,968,922,507,150,362,236,3233,1087,2072,1626,1522,389,1143,872,86040,3852,68829,3445,282,4,119,0,514,61,461,33,921,61,881,87,492,15,329,33,3034,199,1838,234,1354,168,1013,130
"G4900510","2000","US","4","8","Utah","49","Wasatch","051",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3049423729","82301572","Wasatch County","A","+40450355","-111371228","06",,,4014,1015,2920,2128,0,0,0,0,43,7,6,22,5,0,0,8,21,18,0,0,42,15,28,46,157,9,75,25,3793,211,2846,74,0,0,0,0,43,0,6,0,5,0,0,0,21,0,0,0,33,9,28,0,139,18,75,0
"G4900530","2000","US","4","8","Utah","49","Washington","053",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"6284929122","8499344","Washington County","A","+37160711","-113493320","06",,,19727,10154,15667,16434,30,24,26,4,223,61,154,127,48,48,118,138,127,69,58,34,545,158,388,221,398,142,231,151,18673,1030,14859,803,8,22,8,18,192,31,139,15,48,0,116,2,126,1,57,1,487,58,338,50,382,16,213,18
"G4900550","2000","US","4","8","Utah","49","Wayne","055",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"6372196292","15925827","Wayne County","A","+38308550","-111339836","06",,,621,280,508,365,2,0,0,0,9,0,2,1,0,0,0,2,0,0,0,0,0,3,2,2,3,0,2,0,609,12,482,26,2,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0
"G4900570","2000","US","4","8","Utah","49","Weber","057",,,,,"0",,,,,,,,,,,,,"7160","99","N","9999","9999","9",,,,,,,,,"1490637821","217367964","Weber County","A","+41232183","-111972867","06",,,47867,14841,39975,24490,641,366,412,333,424,148,402,143,668,219,681,361,89,17,75,46,3449,1087,2253,1583,893,369,730,333,44793,2519,37699,2172,553,52,359,45,363,61,338,64,623,45,636,45,82,7,64,11,3020,420,1979,274,774,94,655,69
